,Rank,Name,Country,Region,FacultyMemberInt,FacultyMemberTot,StudentInt,StudentTot
0,1,Massachusetts Institute of Technology (MIT),United States,North America,1679,2982,3717,11067
1,2,Stanford University,United States,North America,2042,4285,3611,15878
2,3,Harvard University,United States,North America,1311,4350,5266,22429
3,4,California Institute of Technology (Caltech),United States,North America,350,953,647,2255
4,5,University of Cambridge,United Kingdom,Europe,2278,5490,6699,18770
5,6,University of Oxford,United Kingdom,Europe,2964,6750,7353,19720
6,7,UCL (University College London),United Kingdom,Europe,2554,6345,14854,31080
7,8,Imperial College London,United Kingdom,Europe,2071,3930,8746,16090
8,9,University of Chicago,United States,North America,635,2449,3379,13557
9,10,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Europe,1886,2477,7563,19815
10,11,"Nanyang Technological University, Singapore (NTU)",Singapore,Asia,2993,4338,7251,25738
11,12,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,Europe,1300,1695,5896,10343
12,13,Princeton University,United States,North America,246,1007,1793,8069
13,14,Cornell University,United States,North America,970,2718,5411,21904
14,15,National University of Singapore (NUS),Singapore,Asia,3086,5106,8917,32728
15,16,Yale University,United States,North America,1708,4940,2469,12402
16,17,Johns Hopkins University,United States,North America,1061,4462,4105,16146
17,18,Columbia University,United States,North America,913,6189,8105,25045
18,19,University of Pennsylvania,United States,North America,1383,5499,4250,20639
19,20,The Australian National University,Australia,Oceania,927,1600,5551,14442
20,=21,Duke University,United States,North America,226,2938,2864,15320
21,=21,University of Michigan,United States,North America,1920,6809,7527,43147
22,=23,King's College London,United Kingdom,Europe,1513,3650,9451,23780
23,=23,The University of Edinburgh,United Kingdom,Europe,1553,4075,10551,28040
24,25,Tsinghua University,China,Asia,932,5506,4072,36300
25,26,The University of Hong Kong,Hong Kong,Asia,2085,3012,8230,20214
26,27,"University of California, Berkeley (UCB)",United States,North America,1395,3321,6086,36703
27,=28,Northwestern University,United States,North America,1141,4231,3422,18675
28,=28,The University of Tokyo,Japan,Asia,254,4514,2639,27279
29,30,The Hong Kong University of Science and Technology,Hong Kong,Asia,835,1150,2921,10375
30,31,University of Toronto,Canada,North America,3905,9581,21910,72207
31,32,McGill University,Canada,North America,1220,3646,9540,28837
32,33,"University of California, Los Angeles (UCLA)",United States,North America,662,2859,6887,40114
33,34,The University of Manchester,United Kingdom,Europe,1653,4910,13514,36670
34,35,London School of Economics and Political Science (LSE),United Kingdom,Europe,687,1088,6748,9760
35,=36,Kyoto University,Japan,Asia,293,4060,1990,22974
36,=36,Seoul National University,South Korea,Asia,433,3930,2331,28064
37,=38,"University of California, San Diego (UCSD)",United States,North America,870,3694,6644,32237
38,=38,Peking University,China,Asia,1038,5185,7090,42136
39,40,Fudan University,China,Asia,1178,4037,4680,29135
40,=41,KAIST - Korea Advanced Institute of Science & Technology,South Korea,Asia,147,1250,584,9826
41,=41,The University of Melbourne,Australia,Oceania,1477,3311,18030,42182
42,43,"Ecole normale supérieure, Paris",France,Europe,75,178,374,1907
43,44,University of Bristol,United Kingdom,Europe,942,2870,5099,20630
44,45,The University of New South Wales (UNSW Sydney),Australia,Oceania,1612,2924,14292,39784
45,46,The Chinese University of Hong Kong (CUHK),Hong Kong,Asia,1074,2208,4824,18037
46,=47,Carnegie Mellon University,United States,North America,425,1342,6385,13356
47,=47,The University of Queensland,Australia,Oceania,1870,3158,10420,37497
48,49,City University of Hong Kong,Hong Kong,Asia,1027,1349,3273,9240
49,50,The University of Sydney,Australia,Oceania,1829,3360,17030,46678
50,51,University of British Columbia,Canada,North America,1635,4648,11388,50350
51,52,New York University (NYU),United States,North America,-1,-1,-1,-1
52,53,Brown University,United States,North America,379,1303,1825,9251
53,54,Delft University of Technology,Netherlands,Europe,701,1669,4634,16527
54,55,University of Wisconsin-Madison,United States,North America,1151,5722,4920,38985
55,56,Tokyo Institute of Technology,Japan,Asia,191,1563,1071,9832
56,57,The University of Warwick,United Kingdom,Europe,890,2093,7703,19855
57,58,University of Amsterdam,Netherlands,Europe,707,2600,3785,25967
58,59,Ecole Polytechnique,France,Europe,259,649,924,3126
59,60,Monash University,Australia,Oceania,1679,3204,20578,57433
60,61,University of Washington,United States,North America,550,2484,8373,56973
